Time;pressure [hPa] #21;;Mittelwert
09.01.2017 13:15;1.020.850.000;;1.019.541.667
09.01.2017 13:20;1.020.850.000;;
09.01.2017 13:25;1.020.525.000;;
09.01.2017 13:30;1.020.400.000;;
09.01.2017 13:35;1.020.225.000;;
09.01.2017 13:40;1.020.050.000;;
09.01.2017 13:45;1.020.225.000;;
09.01.2017 13:50;1.020.050.000;;
09.01.2017 13:55;1.019.900.000;;
09.01.2017 14:00;1.019.900.000;;
09.01.2017 14:05;1.020.050.000;;
09.01.2017 14:10;1.019.900.000;;
09.01.2017 14:15;1.019.900.000;;
09.01.2017 14:20;1.019.900.000;;
09.01.2017 14:25;1.019.900.000;;
09.01.2017 14:30;1.019.750.000;;
09.01.2017 14:35;1.019.425.000;;
09.01.2017 14:40;1.019.425.000;;
09.01.2017 14:45;1.019.275.000;;
09.01.2017 14:50;1.019.125.000;;
09.01.2017 14:55;1.019.275.000;;
09.01.2017 15:00;1.019.125.000;;
09.01.2017 15:05;1.019.275.000;;
09.01.2017 15:10;1.019.000.000;;
09.01.2017 15:15;1.019.125.000;;
09.01.2017 15:20;1.018.975.000;;
09.01.2017 15:25;1.018.975.000;;
09.01.2017 15:30;1.018.825.000;;
09.01.2017 15:35;1.018.650.000;;
09.01.2017 15:40;1.018.650.000;;
09.01.2017 15:45;1.018.500.000;;
09.01.2017 15:50;1.018.375.000;;
09.01.2017 15:55;1.018.500.000;;
