Time;pressure [hPa] #21;;
02.06.2017 09:30;1.014.775.000;;1.014.450.641
02.06.2017 09:35;1.014.500.000;;
02.06.2017 09:40;1.014.775.000;;
02.06.2017 09:45;1.014.800.000;;
02.06.2017 09:50;1.014.625.000;;
02.06.2017 09:55;1.014.625.000;;
02.06.2017 10:00;1.014.950.000;;
02.06.2017 10:05;1.014.475.000;;
02.06.2017 10:10;1.014.500.000;;
02.06.2017 10:15;1.014.650.000;;
02.06.2017 10:20;1.014.650.000;;
02.06.2017 10:25;1.014.650.000;;
02.06.2017 10:30;1.014.800.000;;
02.06.2017 10:35;1.014.650.000;;
02.06.2017 10:40;1.014.650.000;;
02.06.2017 10:45;1.014.650.000;;
02.06.2017 10:50;1.014.650.000;;
02.06.2017 10:55;1.014.650.000;;
02.06.2017 11:00;1.014.625.000;;
02.06.2017 11:05;1.014.775.000;;
02.06.2017 11:10;1.014.500.000;;
02.06.2017 11:15;1.014.500.000;;
02.06.2017 11:20;1.014.625.000;;
02.06.2017 11:25;1.014.325.000;;
02.06.2017 11:30;1.014.475.000;;
02.06.2017 11:35;1.014.500.000;;
02.06.2017 11:40;1.014.325.000;;
02.06.2017 11:45;1.014.325.000;;
02.06.2017 11:50;1.014.325.000;;
02.06.2017 11:55;1.014.175.000;;
02.06.2017 12:00;1.014.025.000;;
02.06.2017 12:05;1.014.175.000;;
02.06.2017 12:10;1.014.025.000;;
02.06.2017 12:15;1.014.025.000;;
02.06.2017 12:20;1.014.025.000;;
02.06.2017 12:25;1.014.175.000;;
02.06.2017 12:30;1.013.875.000;;
02.06.2017 12:35;1.014.025.000;;
02.06.2017 12:40;1.013.725.000;;
