Time;pressure [hPa] #21;;
27.06.2017 08:54;1.006.825.000;;1.006.753.571
27.06.2017 08:59;1.006.675.000;;
27.06.2017 09:04;1.006.825.000;;
27.06.2017 09:09;1.006.825.000;;
27.06.2017 09:14;1.007.150.000;;
27.06.2017 09:19;1.007.000.000;;
27.06.2017 09:24;1.007.000.000;;
27.06.2017 09:29;1.006.850.000;;
27.06.2017 09:34;1.006.675.000;;
27.06.2017 09:39;1.007.000.000;;
27.06.2017 09:44;1.006.975.000;;
27.06.2017 09:49;1.007.000.000;;
27.06.2017 09:54;1.006.975.000;;
27.06.2017 09:59;1.006.675.000;;
27.06.2017 10:04;1.006.675.000;;
27.06.2017 10:09;1.006.825.000;;
27.06.2017 10:14;1.006.825.000;;
27.06.2017 10:19;1.006.675.000;;
27.06.2017 10:24;1.006.825.000;;
27.06.2017 10:29;1.006.675.000;;
27.06.2017 10:34;1.006.675.000;;
27.06.2017 10:39;1.006.825.000;;
27.06.2017 10:44;1.006.825.000;;
27.06.2017 10:49;1.007.000.000;;
27.06.2017 10:54;1.007.000.000;;
27.06.2017 10:59;1.006.825.000;;
27.06.2017 11:04;1.006.675.000;;
27.06.2017 11:09;1.006.525.000;;
27.06.2017 11:14;1.006.525.000;;
27.06.2017 11:19;1.006.525.000;;
27.06.2017 11:24;1.006.525.000;;
27.06.2017 11:29;1.006.525.000;;
27.06.2017 11:34;1.006.375.000;;
27.06.2017 11:39;1.006.375.000;;
27.06.2017 11:44;1.006.225.000;;
